confid,dist_name,params
8_hour_15,powerlognorm,"[0.2350485684416991, 0.39258076567893224, -0.0750780647887897, 0.19168914061288073]"
8_hour_16,powerlognorm,"[0.20376865283993822, 0.38004536278779305, -0.07967932708629928, 0.1990437911149804]"
8_hour_17,powerlognorm,"[0.20003017825694305, 0.37735897217707687, -0.09060489083412107, 0.2235407701888773]"
8_hour_18,lognorm,"[0.7380032287760256, -0.04520771814470652, 0.428144455730768]"
8_hour_19,powerlognorm,"[0.2338627931792706, 0.3679595503981833, -0.11425392862030273, 0.2853786760285007]"
8_hour_20,powerlognorm,"[1.5055844145936073, 0.7207177300220985, -0.07573424858219824, 0.6819578867172147]"
8_hour_21,powerlognorm,"[1.4307403931112148, 0.6911270268130894, -0.07960934493501985, 0.6350527468434511]"
8_hour_22,powerlognorm,"[0.7938491069951901, 0.621787729373122, -0.05997046538688508, 0.35468772796437065]"
8_hour_23,powerlognorm,"[0.19011698189797102, 0.34765628884895583, -0.06765801365049622, 0.16282122917727992]"
9_hour_0,powerlognorm,"[0.2361208543770797, 0.37241038657203873, -0.047592439534400274, 0.12996947120129637]"
9_hour_1,powerlognorm,"[0.28652265444545166, 0.3656687311801205, -0.049809624720380224, 0.1353797454674704]"
9_hour_2,powerlognorm,"[0.42215684965858025, 0.4087476501253259, -0.04534808209820318, 0.14695355556003256]"
9_hour_3,powerlognorm,"[0.31711310885864996, 0.3598704757438185, -0.04934026279156864, 0.13584198938158681]"
9_hour_4,powerlognorm,"[0.2944483812098448, 0.36404862290797374, -0.04838901583042922, 0.1331805319600998]"
9_hour_5,lognorm,"[0.7072335072122813, -0.022626116706772406, 0.21802374890734236]"
9_hour_6,powerlognorm,"[0.20695013798854262, 0.3908825142660407, -0.05539228877195664, 0.15004986848615523]"
9_hour_7,lognorm,"[0.7346860857164094, -0.038200932432971735, 0.33732889173226754]"
9_hour_8,powerlognorm,"[0.37841885913217277, 0.5160201595250784, -0.056006962814209, 0.21182354351013655]"
9_hour_9,powerlognorm,"[0.5274522122744534, 0.6404305466073896, -0.038945209461892866, 0.21905185670602367]"
9_hour_10,lognorm,"[0.8401451092416319, -0.026139659534964815, 0.30259996970207614]"
9_hour_11,powerlognorm,"[0.24743029515089449, 0.4714635389551901, -0.05045782982898023, 0.1557159247187603]"
9_hour_12,powerlognorm,"[0.24346386078758264, 0.4526491613609771, -0.05690820516601615, 0.16604599588758995]"
9_hour_13,lognorm,"[0.8046690282182374, -0.028952580154802232, 0.30663619653814056]"
9_hour_14,powerlognorm,"[0.23532174212526502, 0.42925482225019185, -0.06055109746837234, 0.16629401660205007]"
9_hour_15,powerlognorm,"[0.3220842986061388, 0.4896749596589145, -0.0581450258792478, 0.19681842776665617]"
9_hour_16,lognorm,"[0.8009904390422722, -0.03393701086789441, 0.37712667761666185]"
9_hour_17,lognorm,"[0.784223543270633, -0.04405729151358996, 0.44659087943325126]"
9_hour_18,powerlognorm,"[11.174458300607192, 1.456769879513414, -0.01978974274316892, 4.818300024716544]"
9_hour_19,powerlognorm,"[9.2411356414527, 1.2801038796277342, -0.03589928047459694, 3.657850547031403]"
9_hour_20,powerlognorm,"[0.01850505395570514, 0.06978357307250099, -0.554000634717239, 0.5992449426767995]"
9_hour_21,powerlognorm,"[2.0526627198248635, 0.7817149699602925, -0.07555517572434513, 0.824121427093828]"
9_hour_22,lognorm,"[0.7057668303323293, -0.050142097869192534, 0.3851546601718303]"
9_hour_23,lognorm,"[0.75302445336741, -0.024935252714372618, 0.26108940860312707]"
10_hour_0,powerlognorm,"[0.22305570049271234, 0.3757285878284098, -0.04892990450560908, 0.13009331174388736]"
10_hour_1,powerlognorm,"[0.26840105499556816, 0.3664932044610839, -0.049500857541394216, 0.13245021444348803]"
10_hour_2,powerlognorm,"[0.2952684622115753, 0.3618290353941016, -0.04953047927987897, 0.13424777431331317]"
10_hour_3,powerlognorm,"[0.2905557748186849, 0.3612342998946001, -0.04639953527461701, 0.12951775393423137]"
10_hour_4,powerlognorm,"[0.2689595838439011, 0.3650394066138243, -0.04689874682603368, 0.12796194665987792]"
10_hour_5,powerlognorm,"[0.20086402106405554, 0.37058305143680387, -0.045415173988264265, 0.12343725139978963]"
10_hour_6,powerlognorm,"[0.19615875971141933, 0.3909345616412223, -0.05669216302656273, 0.1552196257055346]"
10_hour_7,powerlognorm,"[0.2834312333382444, 0.4326419613013634, -0.0754131463197529, 0.2266063170109158]"
10_hour_8,powerlognorm,"[0.24647657528614114, 0.42552679808710137, -0.07159297448465857, 0.20767311588406379]"
10_hour_9,powerlognorm,"[0.40642948575271964, 0.5893777577369905, -0.0429654313860019, 0.20813984867555785]"
10_hour_10,powerlognorm,"[0.38402556076830197, 0.5956540329415292, -0.03828098672841518, 0.18615639562971514]"
10_hour_11,lognorm,"[0.8751308973483858, -0.022199209250136465, 0.31516716971218706]"
10_hour_12,lognorm,"[0.8499556116827518, -0.026261205953446224, 0.32754703831949494]"
10_hour_13,lognorm,"[0.8371476274031736, -0.0269762263542127, 0.3250901460727965]"
10_hour_14,powerlognorm,"[0.23320396937276544, 0.4482495518674843, -0.057369977446882756, 0.16857986137304498]"
