confid,dist_name,params
6_hour_13,lognorm,"[0.8872653406493469, -0.0062176467559183855, 0.30791302456191516]"
6_hour_14,powerlognorm,"[40.20925323856963, 2.304515825280151, 0.03729706756847964, 33.4612687127448]"
6_hour_15,powerlognorm,"[11.772236088205167, 1.8900282421016108, 0.03578699540820663, 5.049475895307573]"
6_hour_16,powerlognorm,"[1.851615006594951, 1.2197274549936796, 0.018089841940689997, 0.5485936290558057]"
6_hour_17,lognorm,"[1.054148801351673, 0.022818964643583593, 0.3361094035330126]"
6_hour_18,lognorm,"[1.0233891342116792, 0.014187967853661693, 0.3728242248201771]"
6_hour_19,lognorm,"[0.9994909399898741, 0.019712368909204178, 0.3726612950502993]"
6_hour_20,powerlognorm,"[9.923217467763406, 1.6829237633436356, 0.024349818389720435, 5.25743468451296]"
6_hour_21,lognorm,"[0.766060572150409, -0.027516550380254728, 0.46754222425271863]"
6_hour_22,lognorm,"[0.8525602099874636, 0.011918184376145214, 0.3120019660918938]"
6_hour_23,lognorm,"[0.7703396418779268, -0.02379224782893588, 0.2685286951077135]"
7_hour_0,powerlognorm,"[0.33613400805119176, 0.3703749367256375, -0.06448348397611946, 0.17573809105880744]"
7_hour_1,lognorm,"[0.5002880633334362, -0.0485501719082995, 0.23434602579606495]"
7_hour_2,lognorm,"[0.4597380238068979, -0.06802509758454074, 0.2538516330845658]"
7_hour_3,lognorm,"[0.4895206109418807, -0.05069455423848891, 0.23465923954546603]"
7_hour_4,powerlognorm,"[0.15722892323720164, 0.21636723339286734, -0.1045314690516915, 0.17861302478030322]"
7_hour_5,powerlognorm,"[0.17820734324627405, 0.2588544215568632, -0.08760941522491017, 0.16856074609720328]"
7_hour_6,lognorm,"[0.6765593635889728, -0.008466943299250799, 0.25962604928539723]"
7_hour_7,powerlognorm,"[0.10062264089899764, 0.2690808147411383, -0.06906185234716487, 0.16144307187844764]"
7_hour_8,powerlognorm,"[24.52128257873516, 1.6047410234510673, -0.009701718355428964, 6.931734534240043]"
7_hour_9,powerlognorm,"[0.09071566808425319, 0.28660600202780484, -0.06263009789135021, 0.134372604393005]"
7_hour_10,powerlognorm,"[0.10432700297074005, 0.31175867955371656, -0.05349301525620411, 0.13841514213661335]"
7_hour_11,powerlognorm,"[0.2735170968785593, 0.5209736340791405, -0.022603317298702547, 0.14907468751772762]"
7_hour_12,powerlognorm,"[1.8561931530525708, 1.1037084876160612, 0.026148118783834138, 0.4462759484535862]"
7_hour_13,lognorm,"[0.8137115434308904, 0.001631264715497432, 0.275544140879015]"
7_hour_14,lognorm,"[0.7783439901987164, -0.0031226232450373027, 0.2790505567237209]"
7_hour_15,beta,"[1.3258475581863811, 1247294894.8396108, 0.04157284662187927, 332933890.1165075]"
7_hour_16,lognorm,"[0.7706550789844718, -0.007385411943985092, 0.32469093456724996]"
7_hour_17,lognorm,"[0.9095510702121827, 0.019719202240589172, 0.3421723541208065]"
7_hour_18,lognorm,"[0.944501366881903, 0.018208919745853796, 0.3264011644545586]"
7_hour_19,lognorm,"[0.8749746125642854, 0.014698825979381065, 0.3470048618824114]"
